Category,Product Name,Sales,Profit,Discount,Profit Margin %
Technology,"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",1979.88,593.96,0,30
Furniture,"Global Value Mid-Back Manager's Chair, Gray",1978.92,197.89,0.16,10
Office Supplies,Space Solutions Commercial Steel Shelving,1952.43,-74.35,0.03,-3.81
Furniture,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,1947.18,413.65,0.05,21.24
Office Supplies,Harmony Air Purifier,1946.7,374.22,0.22,19.22
Technology,AT&T 1080 Corded phone,1945.26,145.21,0.2,7.46
Technology,AT&T CL83451 4-Handset Telephone,1936.31,473.78,0.1,24.47
Technology,ImationÂ Secure+ Hardware Encrypted USB 2.0Â Flash Drive; 16GB,1926.94,408.74,0.17,21.21
Technology,Logitech Mobile Speakerphone P710e -Â speaker phone,1916.72,241.61,0.16,12.61
Technology,Plantronics Audio 995 Wireless Stereo Headset,1913.13,587.13,0.05,30.69
Furniture,"O'Sullivan Elevations Bookcase, Cherry Finish",1912.31,-68.11,0.2,-3.56
Furniture,"Sauder Camden County Collection Libraries, Planked Cherry Finish",1909.82,-78.19,0.15,-4.09
Technology,Polycom SoundPoint Pro SE-225 Corded phone,1903.84,276.06,0.15,14.5
Furniture,Bestar Classic Bookcase,1897.81,-612.94,0.32,-32.3
Furniture,Novimex Fabric Task Chair,1890.38,-131.11,0.19,-6.94
Technology,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,1890,622.8,0.06,32.95
Office Supplies,Multicolor Computer Printout Paper,1887.3,851.38,0.04,45.11
Technology,Nortel Networks T7316 E Nt8 B27,1876.52,397.74,0.07,21.2
Furniture,"Sauder Forest Hills Library, Woodland Oak Finish",1875.03,-70.49,0.12,-3.76
Office Supplies,"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",1857.25,414.92,0.07,22.34
Furniture,Office Star - Contemporary Task Swivel Chair,1842.27,155.37,0.18,8.43
Furniture,"Padded Folding Chairs, Black, 4/Carton",1830.15,80.98,0.22,4.42
Technology,LG G3,1803.11,411.58,0.1,22.83
Technology,Logitech Wireless Performance Mouse MX for PC and Mac,1799.82,497.95,0.11,27.67
Office Supplies,Xerox 189,1782.45,746.53,0.07,41.88
Office Supplies,Belkin 5 Outlet SurgeMaster Power Centers,1776.05,207.02,0.14,11.66
Furniture,Office Star Flex Back Scooter Chair with White Frame,1775.68,-228.62,0.21,-12.88
Furniture,Bevis Steel Folding Chairs,1775.08,117.06,0.22,6.59
Technology,GE 2-Jack Phone Line Splitter,1771.51,94.76,0.2,5.35
Furniture,Global Deluxe Steno Chair,1770.54,-216.31,0.21,-12.22
Office Supplies,Tennsco Regal Shelving Units,1764.53,-6.08,0.05,-0.34
Office Supplies,Honeywell Quietcare HEPA Air Cleaner,1761.76,549.76,0.05,31.21
Furniture,"Global Geo Office Task Chair, Gray",1757.27,-166.01,0.17,-9.45
Furniture,Global Low Back Tilter Chair,1746.95,-246.39,0.19,-14.1
Office Supplies,Xerox 1941,1740.51,704.59,0.16,40.48
Technology,AT&T TR1909W,1738.66,340.17,0.1,19.57
Technology,Jabra BIZ 2300 Duo QD Duo CordedÂ Headset,1727.06,129.53,0.2,7.5
Technology,First Data FD10 PIN Pad,1722.2,15.8,0.08,0.92
Office Supplies,Xerox 1908,1712.99,799.39,0.03,46.67
Office Supplies,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",1706.51,222.59,0.1,13.04
Furniture,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,1706.25,-1148.44,0.48,-67.31
Technology,Kensington Orbit Wireless Mobile Trackball for PC and Mac,1703.72,357.54,0.16,20.99
Office Supplies,Xerox 1945,1696.99,756.27,0.05,44.57
Technology,Kensington Expert Mouse Optical USB Trackball for PC or Mac,1690.82,360.96,0.1,21.35
Furniture,"Global Leather & Oak Executive Chair, Burgundy",1689.97,-114.68,0.18,-6.79
Furniture,Hon Comfortask Task/Swivel Chairs,1686.9,-36.47,0.15,-2.16
Office Supplies,Staple envelope,1686.81,751.63,0.08,44.56
Furniture,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,1685.44,244.39,0.16,14.5
Technology,ClearOne Communications CHAT 70 OCÂ Speaker Phone,1685.29,273.46,0.1,16.23
Technology,Polycom CX300 Desktop Phone USB VoIP phone,1679.89,60,0.2,3.57
Office Supplies,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",1674.4,146.51,0.22,8.75
Technology,Panasonic KX TS3282W Corded phone,1665.8,178.48,0.23,10.71
Furniture,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,1646.92,-285.95,0.25,-17.36
Technology,Enermax Aurora Lite Keyboard,1641.15,722.11,0,44
Furniture,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",1636.86,375.97,0.11,22.97
Office Supplies,"Carina 42""Hx23 3/4""W Media Storage Unit",1635.8,-110.13,0.1,-6.73
Technology,Motorola Moto X,1631.95,142.8,0.2,8.75
Furniture,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",1623.25,-343.1,0.27,-21.14
Technology,Panasonic KX MC6040 Color Laser Multifunction Printer,1619.82,-22.5,0.35,-1.39
Technology,Plantronics Audio 478 Stereo USB Headset,1619.68,514.9,0.07,31.79
Office Supplies,"Hunt PowerHouse Electric Pencil Sharpener, Blue",1617.95,448.16,0.06,27.7
Technology,Logitech G600 MMO Gaming Mouse,1615.8,540.73,0.02,33.47
Technology,AT&T 841000 Phone,1614.6,165.6,0.17,10.26
Furniture,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",1589.41,253.84,0.12,15.97
Technology,AT&T 1080 Phone,1589.08,271.24,0.13,17.07
Technology,Mophie Juice Pack Helium for iPhone,1583.8,201.57,0.17,12.73
Furniture,Deflect-o Glass Clear Studded Chair Mats,1579.37,318.36,0.03,20.16
Technology,Microsoft Sculpt Comfort Mouse,1574.03,634.41,0.06,40.3
Office Supplies,GBC ProClick Punch Binding System,1573.91,562.38,0.24,35.73
Furniture,"Hon Metal Bookcases, Black",1570.08,-26.97,0.24,-1.72
Office Supplies,Xerox 1919,1565.82,729.62,0.04,46.6
Office Supplies,Cameo Buff Policy Envelopes,1555.75,632.26,0.1,40.64
Furniture,Luxo Adjustable Task Clamp Lamp,1545.82,362.47,0.05,23.45
Technology,Avaya 5420 Digital phone,1538.89,323.98,0.07,21.05
Office Supplies,Eureka Sanitaire  Commercial Upright,1524.53,53.03,0.33,3.48
Furniture,Harbour Creations 67200 Series Stacking Chairs,1501.9,254.82,0.14,16.97
Technology,LG G2,1499.97,-374.99,0.4,-25
Technology,Microsoft Natural Keyboard Elite,1497,20.96,0.15,1.4
Technology,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,1489.33,255.31,0.09,17.14
Furniture,Hon 4-Shelf Metal Bookcases,1474.31,-191.86,0.25,-13.01
Furniture,"Bush Westfield Collection Bookcases, Fully Assembled",1473.3,73.72,0.19,5
Office Supplies,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,1473.11,311.22,0.08,21.13
Furniture,"Tenex ""The Solids"" Textured Chair Mats",1469.16,-40.58,0.2,-2.76
Technology,"Plantronics CS 50-USB -Â headsetÂ - Convertible, Monaural",1468.69,178.15,0.12,12.13
Office Supplies,"Mini 13-1/2 Capacity Data Binder Rack, Pearl",1465.74,287.91,0.08,19.64
Furniture,"Global Leather Task Chair, Black",1448.84,63.89,0.14,4.41
Office Supplies,"SAFCO Commercial Wire Shelving, 72h",1445.26,-24.5,0.04,-1.7
Technology,Nokia Lumia 1020,1439.97,144,0.2,10
Furniture,"Leather Task Chair, Black",1437.48,54.59,0.2,3.8
Furniture,"Bush Andora Conference Table, Maple/Graphite Gray Finish",1436.23,-143.62,0.3,-10
Office Supplies,Xerox 1893,1434.65,619.36,0.09,43.17
Furniture,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,1431.94,46.33,0.05,3.24
Furniture,"Sauder Facets Collection Library, Sky Alder Finish",1427.68,-8.55,0.15,-0.6
Furniture,"Bush Westfield Collection Bookcases, Medium Cherry Finish",1426.89,-20.29,0.23,-1.42
Office Supplies,Fellowes Bankers Box Stor/Drawer Steel Plus,1426.31,-12.79,0.1,-0.9
Furniture,Global Deluxe Office Fabric Chairs,1420.5,229.39,0.12,16.15
Technology,Logitech Wireless Marathon Mouse M705,1409.72,554.89,0.05,39.36
Technology,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,1409.53,536.22,0.09,38.04
Office Supplies,"Belkin 19"" Vented Equipment Shelf, Black",1400.26,-179.67,0.12,-12.83
Technology,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,1399.8,429.74,0.05,30.7
Furniture,"Global Armless Task Chair, Royal Blue",1396.44,-20.73,0.18,-1.48
Technology,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,1396.21,139.62,0.4,10
Technology,Avaya IP Phone 1140E VoIP phone,1394.95,362.69,0,26
Technology,Cisco CP-7937G Unified IP Conference Station Phone,1391.4,-55.66,0.5,-4
Technology,Cisco IPÂ PhoneÂ 7961G VoIPÂ phoneÂ - Dark gray,1386.69,228.4,0.07,16.47
Technology,Samsung Rugby III,1385.79,229.65,0.12,16.57
Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",1383.08,381.21,0.21,27.56
Technology,Cisco SPA525G2 5-Line IP Phone,1379.92,648.56,0,47
Office Supplies,"Belkin 325VA UPS Surge Protector, 6'",1379.17,199.62,0.1,14.47
Furniture,Sauder Camden County Collection Library,1368.26,-103.48,0.24,-7.56
Office Supplies,Safco Industrial Wire Shelving,1363.06,-126.71,0.16,-9.3
Office Supplies,Ames Color-File Green Diamond Border X-ray Mailers,1360.48,559.31,0.05,41.11
Office Supplies,Airmail Envelopes,1359.67,514.49,0.13,37.84
Technology,Plantronics Voyager Pro Legend,1359.53,173.03,0.2,12.73
Technology,DYMO CardScan Personal V9 Business Card Scanner,1343.92,463.97,0.3,34.52
Furniture,Novimex Turbo Task Chair,1341.52,-32.65,0.13,-2.43
Technology,Apple iPhone 5C,1339.87,229.98,0.15,17.16
Technology,AT&T 17929 Lendline Telephone,1339.1,167.39,0.14,12.5
Furniture,Luxo Professional Combination Clamp-On Lamps,1329.9,345.77,0,26
Furniture,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",1324.8,201.82,0.13,15.23
Furniture,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",1322.17,172.25,0.13,13.03
Office Supplies,Xerox 1891,1320.57,542.9,0.06,41.11
Furniture,"Hon Metal Bookcases, Putty",1320.23,362.71,0.04,27.47
Office Supplies,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,1320.17,417.02,0.1,31.59
Office Supplies,Avery Arch Ring Binders,1318.87,87.15,0.39,6.61
Furniture,Office Star - Ergonomically Designed Knee Chair,1311.88,-42.11,0.17,-3.21
Technology,Nokia Lumia 925,1310.3,284.74,0.07,21.73
Furniture,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,1304.13,-111.33,0.16,-8.54
Furniture,"Hon 30"" x 60"" Table with Locking Drawer",1296.03,-177.35,0.33,-13.68
Office Supplies,GBC Recycled Regency Composition Covers,1291.25,451.94,0.23,35
Office Supplies,Fellowes Recycled Storage Drawers,1287.95,48.85,0.07,3.79
Technology,Star Micronics TSP800 TSP847IIU Receipt Printer,1286.85,360.32,0.25,28
Technology,Panasonic KX TS208W Corded phone,1283.54,154.81,0.17,12.06
Office Supplies,Tennsco Industrial Shelving,1281.44,-108.58,0.11,-8.47
Office Supplies,White Computer Printout Paper by Universal,1279.08,547.68,0.1,42.82
Furniture,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,1268.92,106.09,0.05,8.36
Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",1268.7,73.19,0.25,5.77
Office Supplies,Tyvek Side-Opening Peel & Seel Expanding Envelopes,1266.72,570.02,0,45
Furniture,Bush Somerset Collection Bookcase,1263.96,-56.32,0.21,-4.46
Technology,Panasonic KX T7736-B Digital phone,1259.58,134.95,0.16,10.71
Technology,Logitech G430 Surround Sound Gaming Headset with Dolby 7.1 Technology,1247.84,377.55,0.05,30.26
Office Supplies,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,1243.79,74.99,0.2,6.03
Furniture,Hon Valutask Swivel Chairs,1242.05,139.35,0.08,11.22
Office Supplies,"SAFCO Mobile Desk Side File, Wire Frame",1240.04,259.13,0.05,20.9
Office Supplies,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",1233.41,524.51,0.09,42.53
Technology,Maxell 4.7GB DVD-R,1231.69,411.23,0.13,33.39
Office Supplies,Xerox 1888,1231.66,539.27,0.07,43.78
Furniture,Hon 4060 Series Tables,1231.56,96.29,0.2,7.82
Technology,Blue Parrot B250XT Professional Grade Wireless BluetoothÂ HeadsetÂ with,1229.84,127.48,0.25,10.37
Technology,Case Logic 2.4GHz Wireless Keyboard,1229.75,-12,0.08,-0.98
Office Supplies,Xerox 1917,1222.75,574.69,0,47
Technology,Plantronics Voyager Pro HD - Bluetooth Headset,1221.81,376.94,0.12,30.85
Office Supplies,Satellite Sectional Post Binders,1219.82,329.05,0.37,26.98
Office Supplies,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",1217.11,215.55,0.37,17.71
Technology,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,1212.7,-1057.23,0.55,-87.18
Office Supplies,APC 7 Outlet Network SurgeArrest Surge Protector,1207.2,80.48,0.22,6.67
Furniture,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,1200.94,-256.56,0.16,-21.36
Office Supplies,"Trav-L-File Heavy-Duty Shuttle II, Black",1193.82,278.85,0.09,23.36
Office Supplies,Fellowes Bankers Box Recycled Super Stor/Drawer,1187.56,-30.23,0.09,-2.55
Furniture,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",1184.23,448.76,0.1,37.89
Technology,SanDisk Cruzer 64 GB USB Flash Drive,1184.03,319.62,0.07,26.99
Office Supplies,GBC Therma-A-Bind 250T Electric Binding System,1180.7,413.25,0.2,35
Office Supplies,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,1166.44,310.89,0.04,26.65
Technology,GE 30522EE2,1159.9,336.37,0,29
Technology,Logitech K350 2.4Ghz Wireless Keyboard,1154.66,47.28,0.08,4.09
Technology,LG Exalt,1154.33,-212.15,0.33,-18.38
Technology,LogitechÂ Illuminated - Keyboard,1139.81,515.91,0.03,45.26
Technology,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,1135.03,75.23,0.2,6.63
Office Supplies,"File Shuttle II and Handi-File, Black",1125.15,260.95,0.06,23.19
Technology,HTC One,1119.89,125.99,0.2,11.25
Technology,ClearSounds CSC500 Amplified Spirit Phone Corded phone,1119.84,162.38,0.13,14.5
Furniture,O'Sullivan 3-Shelf Heavy-Duty Bookcases,1119.2,147.09,0.17,13.14
Office Supplies,Advantus Rolling Drawer Organizers,1115.92,233.19,0.1,20.9
Furniture,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",1115.64,-125.2,0.18,-11.22
Furniture,Dana Halogen Swing-Arm Architect Lamp,1114.38,288.43,0.07,25.88
Office Supplies,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.02,111.3,0.2,10
Technology,netTALK DUO VoIP Telephone Service,1112.79,430.42,0.17,38.68
Technology,Hypercom P1300 Pinpad,1108.8,275.31,0.17,24.83
Office Supplies,Xerox 1988,1102.89,404.29,0.11,36.66
Office Supplies,Ibico Plastic Spiral Binding Combs,1100.48,328.93,0.33,29.89
Office Supplies,Ibico Laser Imprintable Binding System Covers,1100.4,138.34,0.36,12.57
Office Supplies,Xerox 1906,1098.64,497.58,0.06,45.29
Office Supplies,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",1098.5,492.66,0.06,44.85
Office Supplies,Xerox 1934,1097.21,526.21,0.04,47.96
Office Supplies,Catalog Binders with Expanding Posts,1089.94,-242.21,0.51,-22.22
Furniture,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",1088.64,-104.83,0.32,-9.63
Furniture,Global Deluxe High-Back Office Chair in Storm,1087.92,-149.59,0.2,-13.75
Technology,MaxellÂ LTO Ultrium - 800 GB,1086.01,156.46,0.08,14.41
Technology,RCA Visys Integrated PBX 8-Line Router,1085.24,130.63,0.12,12.04
Office Supplies,GBC Prestige Therm-A-Bind Covers,1073.9,364.72,0.17,33.96
Office Supplies,Belkin 8 Outlet Surge Protector,1073.68,188.51,0.14,17.56
Office Supplies,Carina Media Storage Towers in Natural & Black,1073.25,-121.96,0.12,-11.36
Office Supplies,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,1073.11,206.27,0.11,19.22
Office Supplies,Recycled Steel Personal File for Standard File Folders,1072.63,254.33,0.05,23.71
Furniture,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,1072.34,-78.36,0.15,-7.31
Technology,AT&T 1070 Corded Phone,1070.3,133.79,0.2,12.5
Furniture,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",1064.62,24.2,0.1,2.27
Office Supplies,Recycled Steel Personal File for Hanging File Folders,1053.03,151.66,0.1,14.4
Office Supplies,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",1051.78,277.29,0.05,26.36
Furniture,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",1047.74,340.51,0.11,32.5
Office Supplies,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",1042.08,291.78,0,28
Furniture,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",1042.07,294.31,0.17,28.24
Office Supplies,GBC Twin Loop Wire Binding Elements,1041.66,259.58,0.37,24.92
Furniture,Balt Split Level Computer Training Table,1040.62,-357.98,0.38,-34.4
Technology,Logitech G13 Programmable Gameboard with LCD Display,1039.87,43.19,0.1,4.15
Technology,Star Micronics TSP100 TSP143LAN Receipt Printer,1035.8,269.31,0,26
Technology,Okidata B400 Printer,1029.6,115.83,0.2,11.25
Office Supplies,Hoover Commercial Lightweight Upright Vacuum with E-Z Empty Dirt Cup,1023.35,-9.3,0.27,-0.91
Office Supplies,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",1016.79,453.76,0.03,44.63
Furniture,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",1014.17,-418.55,0.28,-41.27
Furniture,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",1010.78,150.54,0.05,14.89
Technology,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",1007.98,43.2,0.3,4.29
Technology,WD My Passport Ultra 1TB Portable External Hard Drive,1007.4,33.81,0.17,3.36
Furniture,Bevis Rectangular Conference Tables,1007.26,-586.84,0.48,-58.26
Technology,ImationÂ 16GB Mini TravelDrive USB 2.0Â Flash Drive,1007.15,342.56,0.09,34.01
Furniture,"Eldon ""L"" Workstation Diamond Chairmat",1002.94,-267.45,0.3,-26.67
Furniture,Tenex B1-RE Series Chair Mats for Low Pile Carpets,1002.36,124.61,0.03,12.43
Technology,Nortel Business Series Terminal T7208 Digital phone,1000.73,100.07,0.2,10
Office Supplies,Home/Office Personal File Carts,980.23,198.13,0.03,20.21
Office Supplies,Xerox 1909,970.78,400.98,0.09,41.3
Furniture,Global Italian Leather Office Chair,969.25,204.33,0.15,21.08
Furniture,Hon Every-Day Chair Series Swivel Task Chairs,967.84,12.1,0.2,1.25
Office Supplies,Xerox 1885,960.8,461.18,0,48
Office Supplies,Xerox 1914,956.3,423.74,0.08,44.31
Office Supplies,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",953.82,-63.59,0.1,-6.67
Office Supplies,Belkin Premiere Surge Master II 8-outlet surge protector,952.17,55.38,0.27,5.82
Furniture,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",949.03,247.57,0.2,26.09
Office Supplies,Eureka The Boss Cordless Rechargeable Stick Vac,948.23,241.14,0.03,25.43
Office Supplies,"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",939.09,421.98,0.04,44.93
Office Supplies,Tripp Lite TLP810NET Broadband Surge for Modem/Fax,937.85,130.48,0.23,13.91
Office Supplies,Steel Personal Filing/Posting Tote,937.46,185.72,0.08,19.81
Furniture,"Sauder Mission Library with Doors, Fruitwood Finish",935.2,-125.74,0.26,-13.45
Office Supplies,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",929.48,169.26,0.14,18.21
Technology,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,927.77,37.99,0.1,4.09
Furniture,Novimex High-Tech Fabric Mesh Task Chair,922.74,-133.44,0.15,-14.46
Furniture,Riverside Furniture Stanwyck Manor Table Series,917.92,-415.93,0.37,-45.31
Technology,Ativa MDM8000 8-Sheet Micro-Cut Shredder,917.9,393.26,0.1,42.84
Technology,Cisco SPA508G,910.66,207.87,0.12,22.83
Office Supplies,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",909.98,408.26,0.1,44.86
Technology,Plantronics CordlessÂ Phone HeadsetÂ with In-line Volume - M214C,908.7,219.84,0.03,24.19
Technology,LG Electronics Tone+ HBS-730 Bluetooth Headset,904.55,133.3,0.15,14.74
Furniture,"Global Stack Chair without Arms, Black",901.51,44.17,0.17,4.9
Office Supplies,Vinyl Sectional Post Binders,901.03,147.03,0.42,16.32
Technology,Sony 64GB Class 10 Micro SDHC R40 Memory Card,899.75,132.08,0.07,14.68
Office Supplies,Eldon Portable Mobile Manager,899.3,197.39,0.07,21.95
Technology,ImationÂ SecureÂ DriveÂ + Hardware Encrypted USBÂ flash driveÂ - 16 GB,888.97,196.03,0.03,22.05
Technology,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,884,38.01,0.11,4.3
Technology,Cisco Small Business SPA 502G VoIP phone,882.1,58.46,0.25,6.63
Furniture,"Safco Chair Connectors, 6/Carton",881.19,170.85,0.15,19.39
Office Supplies,Xerox 1883,881.09,354.02,0.06,40.18
Office Supplies,Xerox 1960,879.83,334.58,0.1,38.03
Office Supplies,"Boston School Pro Electric Pencil Sharpener, 1670",873.64,149.94,0.11,17.16
Office Supplies,"Eldon Base for stackable storage shelf, platinum",872.26,-52.57,0.09,-6.03
Office Supplies,Fellowes Superior 10 Outlet Split Surge Protector,867.77,57.09,0.27,6.58
Furniture,Executive Impressions Supervisor Wall Clock,867.26,266.07,0.05,30.68
Office Supplies,Xerox 1913,865.49,375.04,0.04,43.33
Office Supplies,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,858.88,201.07,0.02,23.41
Furniture,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",858.86,-9.94,0.24,-1.16
Office Supplies,Green Bar Computer Printout Paper,857.38,380.87,0.04,44.42
Furniture,"Hon Metal Bookcases, Gray",851.76,229.98,0,27
Office Supplies,"Belkin 19"" Center-Weighted Shelf, Gray",849.31,-47.18,0.1,-5.56
Technology,Panasonic Kx-TS550,846.22,95.2,0.2,11.25
Technology,Plantronics 81402,844.67,112.18,0.15,13.28
Office Supplies,GBC VeloBinder Manual Binding System,842.17,280.72,0.28,33.33
Office Supplies,"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",834.6,-82.18,0.51,-9.85
Technology,Motorola HK250 Universal Bluetooth Headset,832.24,-91.5,0.13,-10.99
Office Supplies,Xerox 1916,831.98,342.58,0.14,41.18
Furniture,Balt Solid Wood Rectangular Table,828.1,-216.25,0.26,-26.11
Office Supplies,Safco Industrial Shelving,827.12,-104.13,0.12,-12.59
Furniture,"Bush Birmingham Collection Bookcase, Dark Cherry",825.17,-117.88,0.3,-14.29
Office Supplies,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,823.25,-17.03,0.33,-2.07
Furniture,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",822.74,311.77,0.04,37.89
Furniture,Global Chrome Stack Chair,815.86,15.08,0.27,1.85
Office Supplies,Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,812.16,235.53,0,29
Technology,Grandstream GXP1160 VoIP phone,803.69,157.71,0.1,19.62
Furniture,"Global Stack Chair with Arms, Black",803.46,125.02,0.14,15.56
Furniture,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",802.07,106.47,0.2,13.27
Technology,LogitechÂ MX Performance Wireless Mouse,789.82,211.82,0.11,26.82
Furniture,Howard Miller 12-3/4 Diameter Accuwave DS  Wall Clock,786.9,147.94,0.4,18.8
Office Supplies,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",783.61,299.85,0.09,38.27
Office Supplies,GBC Premium Transparent Covers with Diagonal Lined Pattern,780.46,49.51,0.4,6.34
Technology,JBL Micro Wireless Portable Bluetooth Speaker,779.87,15,0.23,1.92
Technology,Logitech Desktop MK120 Mouse and keyboard Combo,778.74,42.54,0.07,5.46
Furniture,Eldon Radial Chair Mat for Low to Medium Pile Carpets,775.61,135.93,0.07,17.53
Technology,Logitech Trackman Marble Mouse,773.74,286.7,0.09,37.05
Office Supplies,Belkin F9G930V10-GRY 9 Outlet Surge,770.11,162.58,0.16,21.11
Office Supplies,Xerox 191,767.23,354.25,0.02,46.17
Furniture,"Global Deluxe Stacking Chair, Gray",764.7,76.98,0.21,10.07
Furniture,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",763.67,-222.74,0.24,-29.17
Technology,Logitech G105 Gaming Keyboard,759.94,78.37,0.12,10.31
Office Supplies,Fellowes 8 Outlet Superior Workstation Surge Protector,759.12,166.84,0.08,21.98
Technology,AT&T CL2909,755.94,50.4,0.27,6.67
Office Supplies,Xerox 1951,755.91,244.74,0.17,32.38
Office Supplies,Staples,755.47,292.2,0.1,38.68
Furniture,Sauder Barrister Bookcases,754.73,-294.77,0.41,-39.06
Office Supplies,Premium Transparent Presentation Covers by GBC,753.18,284.07,0.21,37.72
Technology,Clarity 53712,752.29,68.63,0.15,9.12
Office Supplies,Ibico Recycled Linen-Style Covers,749.95,262.48,0.3,35
Furniture,Bush Mission Pointe Library,748.86,24.16,0.17,3.23
Technology,Innergie mMini Combo Duo USB Travel Charging Kit,746.83,302.33,0.1,40.48
Technology,Plantronics Encore H101 Dual EarpiecesÂ Headset,746.17,163.62,0.09,21.93
Office Supplies,Xerox 1943,743.43,328.68,0.05,44.21
Technology,"Logitech B530 USBÂ HeadsetÂ -Â headsetÂ - Full size, Binaural",739.8,64.73,0.16,8.75
Office Supplies,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,737.75,89.97,0.22,12.2
Furniture,"Bush Cubix Collection Bookcases, Fully Assembled",729.23,48.62,0.23,6.67
Technology,RCA ViSYS 25825 Wireless digital phone,727.94,90.99,0.2,12.5
Furniture,O'Sullivan 2-Shelf Heavy-Duty Bookcases,723.84,-133.11,0.18,-18.39
Technology,Lexmark MarkNet N8150 Wireless Print Server,723.51,-506.46,0.7,-70
Office Supplies,Xerox 1964,721.74,314.74,0.04,43.61
Technology,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,718.65,280.27,0,39
Technology,Avaya 4621SW VoIP phone,709.92,79.87,0.2,11.25
Office Supplies,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,709.5,205.76,0,29
